WARN - My fourth message.
ERROR - My fifth message.
FATAL - My sixth message.
WARN - My fourth message.
ERROR - My fifth message.
FATAL - My sixth message.
2016-01-02T18:32:04+01:00 [myLogger] My fourth message.
2016-01-02T18:32:04+01:00 [myLogger] My fifth message.
2016-01-02T18:32:04+01:00 [myLogger] My sixth message.
2016-01-02T18:33:17+01:00 [mini] My fourth message.
2016-01-02T18:33:17+01:00 [mini] My fifth message.
2016-01-02T18:33:17+01:00 [mini] My sixth message.
2016-01-02T18:33:18+01:00 [mini] My fourth message.
2016-01-02T18:33:18+01:00 [mini] My fifth message.
2016-01-02T18:33:18+01:00 [mini] My sixth message.
2016-01-02T18:33:19+01:00 [mini] My fourth message.
2016-01-02T18:33:19+01:00 [mini] My fifth message.
2016-01-02T18:33:19+01:00 [mini] My sixth message.
2016-01-02T18:35:16+01:00 [mini] [WARN] My fourth message.
2016-01-02T18:35:16+01:00 [mini] [ERROR] My fifth message.
2016-01-02T18:35:16+01:00 [mini] [FATAL] My sixth message.
2016-01-02T18:35:17+01:00 [mini] [WARN] My fourth message.
2016-01-02T18:35:17+01:00 [mini] [ERROR] My fifth message.
2016-01-02T18:35:17+01:00 [mini] [FATAL] My sixth message.
2016-01-02T18:35:17+01:00 [mini] [WARN] My fourth message.
2016-01-02T18:35:17+01:00 [mini] [ERROR] My fifth message.
2016-01-02T18:35:17+01:00 [mini] [FATAL] My sixth message.
2016-01-02T18:35:17+01:00 [mini] [WARN] My fourth message.
2016-01-02T18:35:17+01:00 [mini] [ERROR] My fifth message.
2016-01-02T18:35:17+01:00 [mini] [FATAL] My sixth message.
2016-01-02T18:35:17+01:00 [mini] [WARN] My fourth message.
2016-01-02T18:35:17+01:00 [mini] [ERROR] My fifth message.
2016-01-02T18:35:17+01:00 [mini] [FATAL] My sixth message.
2016-01-02T18:40:07+01:00 [mini] [TRACE] My first message.
2016-01-02T18:40:07+01:00 [mini] [DEBUG] My second message.
2016-01-02T18:40:07+01:00 [mini] [INFO] My third message.
2016-01-02T18:40:07+01:00 [mini] [WARN] My fourth message.
2016-01-02T18:40:07+01:00 [mini] [ERROR] My fifth message.
2016-01-02T18:40:07+01:00 [mini] [FATAL] My sixth message.
2016-01-02T18:40:07+01:00 [mini] [TRACE] My first message.
2016-01-02T18:40:07+01:00 [mini] [DEBUG] My second message.
2016-01-02T18:40:07+01:00 [mini] [INFO] My third message.
2016-01-02T18:40:07+01:00 [mini] [WARN] My fourth message.
2016-01-02T18:40:07+01:00 [mini] [ERROR] My fifth message.
2016-01-02T18:40:07+01:00 [mini] [FATAL] My sixth message.
2016-01-02T18:40:07+01:00 [mini] [TRACE] My first message.
2016-01-02T18:40:07+01:00 [mini] [DEBUG] My second message.
2016-01-02T18:40:07+01:00 [mini] [INFO] My third message.
2016-01-02T18:40:07+01:00 [mini] [WARN] My fourth message.
2016-01-02T18:40:07+01:00 [mini] [ERROR] My fifth message.
2016-01-02T18:40:07+01:00 [mini] [FATAL] My sixth message.
2016-01-02T18:40:08+01:00 [mini] [TRACE] My first message.
2016-01-02T18:40:08+01:00 [mini] [DEBUG] My second message.
2016-01-02T18:40:08+01:00 [mini] [INFO] My third message.
2016-01-02T18:40:08+01:00 [mini] [WARN] My fourth message.
2016-01-02T18:40:08+01:00 [mini] [ERROR] My fifth message.
2016-01-02T18:40:08+01:00 [mini] [FATAL] My sixth message.
2016-01-02T18:40:08+01:00 [mini] [TRACE] My first message.
2016-01-02T18:40:08+01:00 [mini] [DEBUG] My second message.
2016-01-02T18:40:08+01:00 [mini] [INFO] My third message.
2016-01-02T18:40:08+01:00 [mini] [WARN] My fourth message.
2016-01-02T18:40:08+01:00 [mini] [ERROR] My fifth message.
2016-01-02T18:40:08+01:00 [mini] [FATAL] My sixth message.
2016-02-13T14:48:37+01:00 [mini] [TRACE] My first message.
2016-02-13T14:48:37+01:00 [mini] [DEBUG] My second message.
2016-02-13T14:48:37+01:00 [mini] [INFO] My third message.
2016-02-13T14:48:37+01:00 [mini] [WARN] My fourth message.
2016-02-13T14:48:37+01:00 [mini] [ERROR] My fifth message.
2016-02-13T14:48:37+01:00 [mini] [FATAL] My sixth message.
